L,auc_hapax,auc_lambda_G,auc_sqrt,cllr_hapax,cllr_lambda_G,cllr_sqrt,cllrmin_hapax,cllrmin_lambda_G,cllrmin_sqrt,dataset,engine,n,secs,seg
600,0.8093,0.8112,0.8112,1.2198,12.8793,0.8565,0.7512,0.7468,0.7468,english_dracor,kn,2000,207,w30
300,0.725,0.7267,0.7267,1.3618,8.6555,0.9388,0.8682,0.8674,0.8674,english_dracor,kn,2000,136,w30
150,0.6392,0.6453,0.6453,1.5865,6.5952,1.0428,0.9477,0.9423,0.9423,english_dracor,kn,2000,95,w30
0,0.9371,0.9399,0.9402,0.9217,16.3817,0.614,0.4145,0.4084,0.408,english_poetree,kn,2000,1433,w10
1200,0.8657,0.867,0.8671,1.3866,24.4586,0.9161,0.634,0.635,0.6343,english_poetree,kn,2000,402,w10
600,0.7713,0.7744,0.7744,1.5283,16.4322,0.978,0.8055,0.8008,0.8008,english_poetree,kn,2000,230,w10
300,0.6873,0.6914,0.6914,1.6592,11.3182,1.0546,0.9051,0.8972,0.8972,english_poetree,kn,2000,144,w10
150,0.616,0.6198,0.6198,1.7504,8.3727,1.1409,0.9592,0.9554,0.9554,english_poetree,kn,2000,103,w10
0,0.9394,0.9417,0.942,0.8925,15.9727,0.5951,0.4045,0.3984,0.398,english_poetree,kn,2000,1411,w20
1200,0.867,0.8685,0.8687,1.3125,23.0071,0.8751,0.6308,0.6309,0.6304,english_poetree,kn,2000,396,w20
600,0.7742,0.7771,0.7771,1.4614,15.5918,0.9523,0.8013,0.7974,0.7974,english_poetree,kn,2000,227,w20
300,0.6873,0.6929,0.6929,1.6524,11.2585,1.0492,0.9046,0.8967,0.8967,english_poetree,kn,2000,156,w20
150,0.6204,0.6247,0.6247,1.8111,8.7306,1.155,0.9562,0.9517,0.9517,english_poetree,kn,2000,111,w20
0,0.9423,0.9445,0.9448,0.8441,15.0167,0.5693,0.3935,0.3879,0.3874,english_poetree,kn,2000,1435,w30
1200,0.8696,0.8709,0.8709,1.2529,21.8176,0.8432,0.6258,0.6234,0.6232,english_poetree,kn,2000,425,w30
600,0.7758,0.7786,0.7786,1.4479,15.5105,0.9468,0.8036,0.7985,0.7985,english_poetree,kn,2000,249,w30
300,0.691,0.6958,0.6958,1.6423,11.2574,1.0452,0.8999,0.8947,0.8947,english_poetree,kn,2000,156,w30
150,0.6201,0.6245,0.6245,1.7613,8.4236,1.1409,0.9579,0.9507,0.9507,english_poetree,kn,2000,107,w30
0,0.9295,0.9315,0.9314,0.9996,14.7353,0.5819,0.46,0.4571,0.458,french_dracor,kn,2000,1586,w10
1200,0.8449,0.8483,0.8483,1.6838,24.6824,0.9402,0.6838,0.6793,0.6792,french_dracor,kn,2000,427,w10
600,0.7786,0.7817,0.7817,1.7786,16.3765,0.9727,0.7976,0.7905,0.7905,french_dracor,kn,2000,252,w10
