L,auc_hapax,auc_lambda_G,auc_sqrt,cllr_hapax,cllr_lambda_G,cllr_sqrt,cllrmin_hapax,cllrmin_lambda_G,cllrmin_sqrt,dataset,engine,n,secs,seg
1200,0.8022,0.8035,0.8036,3.2654,48.8686,1.5558,0.7446,0.7326,0.7327,romanian_dracor,kn,894,99,w30
600,0.7806,0.7875,0.7875,2.3107,21.2546,1.1109,0.7826,0.7681,0.7681,romanian_dracor,kn,894,55,w30
300,0.7275,0.7371,0.7371,1.8936,11.1765,0.9964,0.8538,0.8377,0.8377,romanian_dracor,kn,894,35,w30
150,0.701,0.7097,0.7097,1.4811,5.7473,0.9489,0.8871,0.8777,0.8777,romanian_dracor,kn,894,26,w30
0,0.889,0.8905,0.8901,2.2798,33.377,1.0436,0.5882,0.5867,0.5886,russian_dracor,kn,2000,1031,w10
1200,0.8493,0.8491,0.8491,2.046,28.1513,0.9922,0.6736,0.6765,0.6765,russian_dracor,kn,2000,244,w10
600,0.7685,0.769,0.769,1.8524,16.5151,0.98,0.8074,0.8088,0.8088,russian_dracor,kn,2000,138,w10
300,0.633,0.6356,0.6356,2.1747,13.2598,1.1732,0.9465,0.9427,0.9427,russian_dracor,kn,2000,86,w10
150,0.6141,0.6169,0.6169,1.6991,7.0225,1.0797,0.9557,0.9526,0.9526,russian_dracor,kn,2000,62,w10
0,0.8905,0.8921,0.8915,2.2639,33.1059,1.036,0.5865,0.582,0.5837,russian_dracor,kn,2000,1037,w20
1200,0.847,0.8465,0.8465,2.0221,27.893,0.9855,0.6782,0.6817,0.6817,russian_dracor,kn,2000,243,w20
600,0.7561,0.7565,0.7565,1.913,17.0747,1.0096,0.8237,0.8226,0.8226,russian_dracor,kn,2000,138,w20
300,0.6311,0.6332,0.6332,2.1476,13.1067,1.1676,0.9449,0.9439,0.9439,russian_dracor,kn,2000,89,w20
150,0.6228,0.6244,0.6244,1.7234,7.1346,1.0824,0.9511,0.9497,0.9497,russian_dracor,kn,2000,65,w20
0,0.8932,0.8949,0.8943,2.2163,32.4924,1.0161,0.5795,0.5721,0.5733,russian_dracor,kn,2000,986,w30
1200,0.8492,0.8486,0.8486,1.9659,27.0189,0.9656,0.6746,0.6788,0.6788,russian_dracor,kn,2000,235,w30
600,0.7671,0.7676,0.7676,1.7897,15.8774,0.9684,0.8098,0.8093,0.8093,russian_dracor,kn,2000,125,w30
300,0.6264,0.6289,0.6289,2.151,13.1384,1.1701,0.946,0.9428,0.9428,russian_dracor,kn,2000,80,w30
150,0.6332,0.6341,0.6341,1.6135,6.639,1.0478,0.9456,0.9441,0.9441,russian_dracor,kn,2000,58,w30
0,0.9189,0.9192,0.9196,0.9279,14.3227,0.6206,0.4942,0.497,0.4963,russian_poetree,kn,2000,909,w10
1200,0.8385,0.8389,0.8389,1.1929,17.579,0.8048,0.6979,0.6981,0.6984,russian_poetree,kn,2000,250,w10
600,0.7636,0.7686,0.7686,1.3012,12.9624,0.9022,0.8247,0.8135,0.8135,russian_poetree,kn,2000,145,w10
300,0.6637,0.668,0.668,1.4484,9.9191,1.0266,0.9293,0.9155,0.9155,russian_poetree,kn,2000,91,w10
150,0.5893,0.5955,0.5955,1.6076,8.3081,1.1465,0.976,0.9665,0.9665,russian_poetree,kn,2000,67,w10
0,0.9197,0.9198,0.9202,0.9087,14.072,0.6113,0.4947,0.4907,0.49,russian_poetree,kn,2000,890,w20
1200,0.8387,0.84,0.84,1.2008,17.7863,0.8062,0.6988,0.6963,0.6962,russian_poetree,kn,2000,251,w20
600,0.7655,0.7707,0.7707,1.2738,12.5671,0.8916,0.8227,0.8112,0.8112,russian_poetree,kn,2000,139,w20
300,0.6716,0.6767,0.6767,1.4097,9.541,1.0089,0.923,0.907,0.907,russian_poetree,kn,2000,92,w20
150,0.5908,0.5992,0.5992,1.6192,8.3497,1.1479,0.9743,0.9656,0.9656,russian_poetree,kn,2000,63,w20
0,0.9195,0.9199,0.9203,0.8967,13.8482,0.6016,0.4964,0.496,0.4952,russian_poetree,kn,2000,861,w30
1200,0.8456,0.8464,0.8464,1.133,16.6696,0.7748,0.684,0.6831,0.6833,russian_poetree,kn,2000,232,w30
600,0.7677,0.7722,0.7722,1.2426,12.2395,0.8828,0.819,0.8098,0.8098,russian_poetree,kn,2000,133,w30
300,0.6655,0.6709,0.6709,1.4347,9.815,1.021,0.9265,0.9116,0.9116,russian_poetree,kn,2000,83,w30
150,0.5858,0.5941,0.5941,1.5992,8.1859,1.1424,0.9769,0.9673,0.9673,russian_poetree,kn,2000,60,w30
0,0.8885,0.8937,0.8938,1.6405,26.8329,0.8963,0.5098,0.4969,0.4986,slovenian_poetree,kn,368,174,w10
1200,0.8278,0.8334,0.8334,1.5668,24.5331,0.925,0.6557,0.6439,0.6432,slovenian_poetree,kn,368,46,w10
600,0.8172,0.8183,0.8183,1.1595,11.6202,0.7846,0.6766,0.6698,0.6698,slovenian_poetree,kn,368,25,w10
300,0.7211,0.7284,0.7284,1.3078,8.3404,0.9159,0.8476,0.8221,0.8221,slovenian_poetree,kn,368,16,w10
150,0.6362,0.6486,0.6486,1.3781,5.9569,1.0051,0.9315,0.9034,0.9034,slovenian_poetree,kn,368,12,w10
0,0.8912,0.8961,0.8964,1.588,25.8144,0.8673,0.4975,0.4906,0.4893,slovenian_poetree,kn,368,159,w20
1200,0.8304,0.8333,0.8333,1.5496,23.9543,0.9273,0.6392,0.6389,0.6389,slovenian_poetree,kn,368,43,w20
600,0.8241,0.8257,0.8257,1.1121,11.1238,0.7672,0.6831,0.6785,0.6785,slovenian_poetree,kn,368,25,w20
300,0.7282,0.74,0.74,1.3078,8.2918,0.901,0.8224,0.7935,0.7935,slovenian_poetree,kn,368,15,w20
150,0.6562,0.6691,0.6691,1.3417,5.7968,0.9874,0.9104,0.8746,0.8746,slovenian_poetree,kn,368,12,w20
0,0.8927,0.8982,0.8984,1.5803,25.936,0.8602,0.4992,0.4797,0.4807,slovenian_poetree,kn,368,155,w30
1200,0.8344,0.8393,0.8394,1.4915,22.7837,0.8945,0.633,0.6207,0.6201,slovenian_poetree,kn,368,43,w30
600,0.8261,0.8291,0.8291,1.0967,10.9214,0.7548,0.668,0.6565,0.6565,slovenian_poetree,kn,368,22,w30
300,0.7278,0.7413,0.7413,1.3389,8.5238,0.9063,0.828,0.7873,0.7873,slovenian_poetree,kn,368,16,w30
150,0.6485,0.6624,0.6624,1.3793,6.058,0.9933,0.9146,0.883,0.883,slovenian_poetree,kn,368,12,w30
