  italian_dracor           kn          sent L= 600  AUC 0.748  Cllr   55.233  sqrt 2.369  hapax 5.972  (153s)
  italian_dracor           kn          sent L= 300  AUC 0.727  Cllr   44.865  sqrt 2.716  hapax 7.263  (106s)
  italian_dracor           kn          sent L= 150  AUC 0.704  Cllr   28.863  sqrt 2.518  hapax 6.616  (96s)
  italian_novels           kn          sent L=full  AUC 0.895  Cllr   28.966  sqrt 0.976  hapax 2.260  (848s)
  italian_novels           kn          sent L=1200  AUC 0.791  Cllr   46.533  sqrt 1.523  hapax 3.736  (261s)
  italian_novels           kn          sent L= 600  AUC 0.723  Cllr   41.860  sqrt 1.927  hapax 5.236  (173s)
  italian_novels           kn          sent L= 300  AUC 0.617  Cllr   43.397  sqrt 2.695  hapax 7.728  (115s)
  italian_novels           kn          sent L= 150  AUC 0.580  Cllr   31.093  sqrt 2.710  hapax 7.663  (88s)
  italian_poetree          kn          sent L=full  AUC 0.960  Cllr   50.839  sqrt 1.540  hapax 3.062  (556s)
  italian_poetree          kn          sent L=1200  AUC 0.909  Cllr   19.510  sqrt 0.714  hapax 1.274  (219s)
  italian_poetree          kn          sent L= 600  AUC 0.814  Cllr   29.257  sqrt 1.373  hapax 3.012  (156s)
  italian_poetree          kn          sent L= 300  AUC 0.711  Cllr   40.469  sqrt 2.453  hapax 6.048  (104s)
  italian_poetree          kn          sent L= 150  AUC 0.617  Cllr   35.708  sqrt 3.024  hapax 7.677  (80s)
  lithuanian_novels        kn          sent L=full  AUC 0.940  Cllr   46.010  sqrt 1.388  hapax 2.917  (917s)
  lithuanian_novels        kn          sent L=1200  AUC 0.877  Cllr   41.813  sqrt 1.335  hapax 2.759  (248s)
  lithuanian_novels        kn          sent L= 600  AUC 0.779  Cllr   24.823  sqrt 1.225  hapax 2.462  (137s)
  lithuanian_novels        kn          sent L= 300  AUC 0.651  Cllr   22.147  sqrt 1.549  hapax 3.082  (92s)
  lithuanian_novels        kn          sent L= 150  AUC 0.574  Cllr   12.784  sqrt 1.407  hapax 2.551  (63s)
  norwegian_novels         kn          sent L=full  AUC 0.958  Cllr   20.399  sqrt 0.677  hapax 0.710  (806s)
  norwegian_novels         kn          sent L=1200  AUC 0.917  Cllr   23.696  sqrt 0.820  hapax 0.898  (266s)
  norwegian_novels         kn          sent L= 600  AUC 0.824  Cllr   22.031  sqrt 1.090  hapax 1.306  (160s)
  norwegian_novels         kn          sent L= 300  AUC 0.735  Cllr   15.757  sqrt 1.181  hapax 1.535  (110s)
  norwegian_novels         kn          sent L= 150  AUC 0.658  Cllr   11.451  sqrt 1.292  hapax 1.800  (84s)
  norwegian_poetree        kn          sent L=full  AUC 0.971  Cllr   49.930  sqrt 1.538  hapax 1.486  (94s)
  norwegian_poetree        kn          sent L=1200  AUC 0.954  Cllr   27.415  sqrt 0.893  hapax 0.862  (35s)
  norwegian_poetree        kn          sent L= 600  AUC 0.923  Cllr   12.925  sqrt 0.669  hapax 0.704  (21s)
  norwegian_poetree        kn          sent L= 300  AUC 0.861  Cllr    9.973  sqrt 0.798  hapax 0.952  (14s)
  norwegian_poetree        kn          sent L= 150  AUC 0.789  Cllr   12.924  sqrt 1.310  hapax 1.866  (12s)
  polish_dracor            kn          sent L=full  AUC 0.939  Cllr   15.255  sqrt 0.545  hapax 1.161  (213s)
  polish_dracor            kn          sent L=1200  AUC 0.854  Cllr   31.423  sqrt 1.113  hapax 2.537  (61s)
  polish_dracor            kn          sent L= 600  AUC 0.747  Cllr   39.777  sqrt 1.880  hapax 4.554  (36s)
  polish_dracor            kn          sent L= 300  AUC 0.673  Cllr   40.008  sqrt 2.587  hapax 6.358  (24s)
  polish_dracor            kn          sent L= 150  AUC 0.636  Cllr   34.718  sqrt 3.135  hapax 7.413  (18s)
  polish_novels            kn          sent L=full  AUC 0.829  Cllr   49.593  sqrt 1.568  hapax 3.879  (984s)
  polish_novels            kn          sent L=1200  AUC 0.707  Cllr   87.486  sqrt 2.673  hapax 6.993  (291s)
  polish_novels            kn          sent L= 600  AUC 0.592  Cllr   82.978  sqrt 3.534  hapax 9.369  (168s)
